datetime,latitude,longitude,aod_550,aod_470,angstrom_exponent
2025-07-19 17:44:02.293211,6.0,68.0,0.393,0.433,1.18
2025-07-19 17:44:02.293211,6.0,68.5,0.335,0.368,1.05
2025-07-19 17:44:02.293211,6.0,69.0,0.382,0.42,1.0
2025-07-19 17:44:02.293211,6.0,69.5,0.236,0.259,1.22
2025-07-19 17:44:02.293211,6.0,70.0,0.379,0.417,0.96
2025-07-19 17:44:02.293211,6.0,70.5,0.436,0.48,1.07
2025-07-19 17:44:02.293211,6.0,71.0,0.161,0.177,1.55
2025-07-19 17:44:02.293211,6.0,71.5,0.1,0.111,1.1
2025-07-19 17:44:02.293211,6.0,72.0,0.258,0.284,1.13
2025-07-19 17:44:02.293211,6.0,72.5,0.35,0.385,1.22
2025-07-19 17:44:02.293211,6.0,73.0,0.223,0.245,1.18
2025-07-19 17:44:02.293211,6.0,73.5,0.163,0.179,1.51
2025-07-19 17:44:02.293211,6.0,74.0,0.443,0.487,0.97
2025-07-19 17:44:02.293211,6.0,74.5,0.308,0.339,1.34
2025-07-19 17:44:02.293211,6.0,75.0,0.33,0.363,1.56
2025-07-19 17:44:02.293211,6.0,75.5,0.176,0.194,1.31
2025-07-19 17:44:02.293211,6.0,76.0,0.414,0.456,1.27
2025-07-19 17:44:02.293211,6.0,76.5,0.256,0.281,1.17
2025-07-19 17:44:02.293211,6.0,77.0,0.245,0.269,0.94
2025-07-19 17:44:02.293211,6.0,77.5,0.409,0.45,1.13
2025-07-19 17:44:02.293211,6.0,78.0,0.373,0.411,1.25
2025-07-19 17:44:02.293211,6.0,78.5,0.406,0.447,1.37
2025-07-19 17:44:02.293211,6.0,79.0,0.077,0.084,0.94
2025-07-19 17:44:02.293211,6.0,79.5,0.178,0.195,1.14
2025-07-19 17:44:02.293211,6.0,80.0,0.05,0.055,1.02
2025-07-19 17:44:02.293211,6.0,80.5,0.202,0.222,0.95
2025-07-19 17:44:02.293211,6.0,81.0,0.305,0.336,1.45
2025-07-19 17:44:02.293211,6.0,81.5,0.285,0.313,1.26
2025-07-19 17:44:02.293211,6.0,82.0,0.28,0.308,1.03
2025-07-19 17:44:02.293211,6.0,82.5,0.277,0.305,0.94
2025-07-19 17:44:02.293211,6.0,83.0,0.06,0.067,1.21
2025-07-19 17:44:02.293211,6.0,83.5,0.068,0.075,1.24
2025-07-19 17:44:02.293211,6.0,84.0,0.239,0.263,1.23
2025-07-19 17:44:02.293211,6.0,84.5,0.237,0.261,1.12
2025-07-19 17:44:02.293211,6.0,85.0,0.331,0.365,1.12
2025-07-19 17:44:02.293211,6.0,85.5,0.434,0.477,1.35
2025-07-19 17:44:02.293211,6.0,86.0,0.325,0.358,1.11
2025-07-19 17:44:02.293211,6.0,86.5,0.217,0.239,0.99
2025-07-19 17:44:02.293211,6.0,87.0,0.285,0.314,1.28
2025-07-19 17:44:02.293211,6.0,87.5,0.327,0.359,1.04
2025-07-19 17:44:02.293211,6.0,88.0,0.284,0.313,1.29
2025-07-19 17:44:02.293211,6.0,88.5,0.476,0.523,1.18
2025-07-19 17:44:02.293211,6.0,89.0,0.226,0.249,1.15
2025-07-19 17:44:02.293211,6.0,89.5,0.245,0.269,1.46
2025-07-19 17:44:02.293211,6.0,90.0,0.102,0.112,1.22
2025-07-19 17:44:02.293211,6.0,90.5,0.308,0.339,1.54
2025-07-19 17:44:02.293211,6.0,91.0,0.429,0.472,0.88
2025-07-19 17:44:02.293211,6.0,91.5,0.267,0.293,1.12
2025-07-19 17:44:02.293211,6.0,92.0,0.383,0.422,1.18
2025-07-19 17:44:02.293211,6.0,92.5,0.266,0.293,1.31
2025-07-19 17:44:02.293211,6.0,93.0,0.222,0.244,1.13
2025-07-19 17:44:02.293211,6.0,93.5,0.304,0.334,1.35
2025-07-19 17:44:02.293211,6.0,94.0,0.423,0.465,1.24
2025-07-19 17:44:02.293211,6.0,94.5,0.37,0.407,1.55
2025-07-19 17:44:02.293211,6.0,95.0,0.313,0.344,1.2
2025-07-19 17:44:02.293211,6.0,95.5,0.368,0.404,1.0
2025-07-19 17:44:02.293211,6.0,96.0,0.26,0.286,1.15
2025-07-19 17:44:02.293211,6.0,96.5,0.15,0.165,0.68
2025-07-19 17:44:02.293211,6.0,97.0,0.318,0.349,1.06
2025-07-19 17:44:02.293211,6.5,68.0,0.115,0.127,1.18
2025-07-19 17:44:02.293211,6.5,68.5,0.424,0.466,1.42
2025-07-19 17:44:02.293211,6.5,69.0,0.251,0.276,1.01
2025-07-19 17:44:02.293211,6.5,69.5,0.387,0.426,1.15
2025-07-19 17:44:02.293211,6.5,70.0,0.149,0.164,1.0
2025-07-19 17:44:02.293211,6.5,70.5,0.294,0.323,1.27
2025-07-19 17:44:02.293211,6.5,71.0,0.185,0.204,1.03
2025-07-19 17:44:02.293211,6.5,71.5,0.372,0.409,0.83
2025-07-19 17:44:02.293211,6.5,72.0,0.338,0.372,1.65
2025-07-19 17:44:02.293211,6.5,72.5,0.354,0.389,1.56
2025-07-19 17:44:02.293211,6.5,73.0,0.332,0.365,0.98
2025-07-19 17:44:02.293211,6.5,73.5,0.34,0.374,1.49
2025-07-19 17:44:02.293211,6.5,74.0,0.331,0.364,1.09
2025-07-19 17:44:02.293211,6.5,74.5,0.36,0.396,1.1
2025-07-19 17:44:02.293211,6.5,75.0,0.107,0.118,1.43
2025-07-19 17:44:02.293211,6.5,75.5,0.276,0.304,1.11
2025-07-19 17:44:02.293211,6.5,76.0,0.35,0.385,0.85
2025-07-19 17:44:02.293211,6.5,76.5,0.101,0.111,0.87
2025-07-19 17:44:02.293211,6.5,77.0,0.258,0.284,1.31
2025-07-19 17:44:02.293211,6.5,77.5,0.303,0.333,1.06
2025-07-19 17:44:02.293211,6.5,78.0,0.206,0.227,1.22
2025-07-19 17:44:02.293211,6.5,78.5,0.251,0.276,0.87
2025-07-19 17:44:02.293211,6.5,79.0,0.366,0.402,1.48
2025-07-19 17:44:02.293211,6.5,79.5,0.442,0.486,1.12
2025-07-19 17:44:02.293211,6.5,80.0,0.371,0.408,0.87
2025-07-19 17:44:02.293211,6.5,80.5,0.374,0.411,1.18
2025-07-19 17:44:02.293211,6.5,81.0,0.387,0.426,1.08
2025-07-19 17:44:02.293211,6.5,81.5,0.405,0.446,1.41
2025-07-19 17:44:02.293211,6.5,82.0,0.455,0.501,1.34
2025-07-19 17:44:02.293211,6.5,82.5,0.203,0.224,1.23
2025-07-19 17:44:02.293211,6.5,83.0,0.239,0.263,0.97
2025-07-19 17:44:02.293211,6.5,83.5,0.511,0.562,0.97
2025-07-19 17:44:02.293211,6.5,84.0,0.372,0.409,1.39
2025-07-19 17:44:02.293211,6.5,84.5,0.338,0.371,1.0
2025-07-19 17:44:02.293211,6.5,85.0,0.353,0.388,1.44
2025-07-19 17:44:02.293211,6.5,85.5,0.257,0.282,1.19
2025-07-19 17:44:02.293211,6.5,86.0,0.35,0.385,1.44
2025-07-19 17:44:02.293211,6.5,86.5,0.186,0.204,1.22
2025-07-19 17:44:02.293211,6.5,87.0,0.292,0.321,1.07
2025-07-19 17:44:02.293211,6.5,87.5,0.457,0.503,1.51
2025-07-19 17:44:02.293211,6.5,88.0,0.364,0.4,1.21
2025-07-19 17:44:02.293211,6.5,88.5,0.272,0.299,0.88
2025-07-19 17:44:02.293211,6.5,89.0,0.386,0.425,1.06
2025-07-19 17:44:02.293211,6.5,89.5,0.324,0.356,1.22
2025-07-19 17:44:02.293211,6.5,90.0,0.197,0.217,0.96
2025-07-19 17:44:02.293211,6.5,90.5,0.368,0.405,1.15
2025-07-19 17:44:02.293211,6.5,91.0,0.287,0.316,1.26
2025-07-19 17:44:02.293211,6.5,91.5,0.384,0.423,1.41
2025-07-19 17:44:02.293211,6.5,92.0,0.365,0.402,1.13
2025-07-19 17:44:02.293211,6.5,92.5,0.271,0.299,0.93
2025-07-19 17:44:02.293211,6.5,93.0,0.129,0.142,1.5
2025-07-19 17:44:02.293211,6.5,93.5,0.25,0.275,1.57
2025-07-19 17:44:02.293211,6.5,94.0,0.457,0.502,1.23
2025-07-19 17:44:02.293211,6.5,94.5,0.308,0.338,1.32
2025-07-19 17:44:02.293211,6.5,95.0,0.112,0.123,0.95
2025-07-19 17:44:02.293211,6.5,95.5,0.246,0.271,1.23
2025-07-19 17:44:02.293211,6.5,96.0,0.35,0.385,1.38
2025-07-19 17:44:02.293211,6.5,96.5,0.216,0.238,1.03
2025-07-19 17:44:02.293211,6.5,97.0,0.265,0.292,1.16
2025-07-19 17:44:02.293211,7.0,68.0,0.407,0.447,0.83
2025-07-19 17:44:02.293211,7.0,68.5,0.334,0.367,0.86
2025-07-19 17:44:02.293211,7.0,69.0,0.42,0.462,1.63
2025-07-19 17:44:02.293211,7.0,69.5,0.282,0.31,0.97
2025-07-19 17:44:02.293211,7.0,70.0,0.355,0.391,1.26
2025-07-19 17:44:02.293211,7.0,70.5,0.242,0.266,1.2
2025-07-19 17:44:02.293211,7.0,71.0,0.172,0.19,1.44
2025-07-19 17:44:02.293211,7.0,71.5,0.21,0.231,1.11
2025-07-19 17:44:02.293211,7.0,72.0,0.443,0.488,1.2
2025-07-19 17:44:02.293211,7.0,72.5,0.281,0.309,1.4
2025-07-19 17:44:02.293211,7.0,73.0,0.214,0.235,1.4
2025-07-19 17:44:02.293211,7.0,73.5,0.345,0.379,1.31
2025-07-19 17:44:02.293211,7.0,74.0,0.32,0.352,1.21
2025-07-19 17:44:02.293211,7.0,74.5,0.23,0.253,1.46
2025-07-19 17:44:02.293211,7.0,75.0,0.193,0.212,1.1
2025-07-19 17:44:02.293211,7.0,75.5,0.182,0.2,1.1
2025-07-19 17:44:02.293211,7.0,76.0,0.361,0.397,1.48
2025-07-19 17:44:02.293211,7.0,76.5,0.358,0.393,1.19
2025-07-19 17:44:02.293211,7.0,77.0,0.36,0.396,1.49
2025-07-19 17:44:02.293211,7.0,77.5,0.219,0.241,0.86
2025-07-19 17:44:02.293211,7.0,78.0,0.371,0.409,1.28
2025-07-19 17:44:02.293211,7.0,78.5,0.05,0.055,1.21
2025-07-19 17:44:02.293211,7.0,79.0,0.228,0.251,1.27
2025-07-19 17:44:02.293211,7.0,79.5,0.294,0.324,1.16
2025-07-19 17:44:02.293211,7.0,80.0,0.328,0.361,0.95
2025-07-19 17:44:02.293211,7.0,80.5,0.422,0.464,1.45
2025-07-19 17:44:02.293211,7.0,81.0,0.136,0.149,0.86
2025-07-19 17:44:02.293211,7.0,81.5,0.195,0.215,1.2
2025-07-19 17:44:02.293211,7.0,82.0,0.309,0.339,1.21
2025-07-19 17:44:02.293211,7.0,82.5,0.294,0.323,1.37
2025-07-19 17:44:02.293211,7.0,83.0,0.264,0.29,1.23
2025-07-19 17:44:02.293211,7.0,83.5,0.1,0.11,1.36
2025-07-19 17:44:02.293211,7.0,84.0,0.361,0.397,1.23
2025-07-19 17:44:02.293211,7.0,84.5,0.325,0.358,0.91
2025-07-19 17:44:02.293211,7.0,85.0,0.347,0.382,1.22
2025-07-19 17:44:02.293211,7.0,85.5,0.237,0.261,1.09
2025-07-19 17:44:02.293211,7.0,86.0,0.489,0.538,1.01
2025-07-19 17:44:02.293211,7.0,86.5,0.45,0.495,1.33
2025-07-19 17:44:02.293211,7.0,87.0,0.183,0.201,1.15
2025-07-19 17:44:02.293211,7.0,87.5,0.13,0.143,1.36
2025-07-19 17:44:02.293211,7.0,88.0,0.396,0.436,1.08
2025-07-19 17:44:02.293211,7.0,88.5,0.251,0.276,1.09
2025-07-19 17:44:02.293211,7.0,89.0,0.351,0.387,1.27
2025-07-19 17:44:02.293211,7.0,89.5,0.421,0.463,1.43
2025-07-19 17:44:02.293211,7.0,90.0,0.107,0.118,0.8
2025-07-19 17:44:02.293211,7.0,90.5,0.436,0.48,1.14
2025-07-19 17:44:02.293211,7.0,91.0,0.175,0.193,1.09
2025-07-19 17:44:02.293211,7.0,91.5,0.238,0.262,1.18
2025-07-19 17:44:02.293211,7.0,92.0,0.074,0.081,1.17
2025-07-19 17:44:02.293211,7.0,92.5,0.404,0.445,0.99
2025-07-19 17:44:02.293211,7.0,93.0,0.271,0.298,1.48
2025-07-19 17:44:02.293211,7.0,93.5,0.243,0.267,1.52
2025-07-19 17:44:02.293211,7.0,94.0,0.121,0.133,1.24
2025-07-19 17:44:02.293211,7.0,94.5,0.445,0.49,1.42
2025-07-19 17:44:02.293211,7.0,95.0,0.193,0.212,1.38
2025-07-19 17:44:02.293211,7.0,95.5,0.262,0.288,0.97
2025-07-19 17:44:02.293211,7.0,96.0,0.279,0.307,0.94
2025-07-19 17:44:02.293211,7.0,96.5,0.175,0.192,1.43
2025-07-19 17:44:02.293211,7.0,97.0,0.333,0.367,1.28
2025-07-19 17:44:02.293211,7.5,68.0,0.265,0.292,1.01
2025-07-19 17:44:02.293211,7.5,68.5,0.23,0.253,1.45
2025-07-19 17:44:02.293211,7.5,69.0,0.393,0.433,1.55
2025-07-19 17:44:02.293211,7.5,69.5,0.191,0.21,1.18
2025-07-19 17:44:02.293211,7.5,70.0,0.406,0.447,1.0
2025-07-19 17:44:02.293211,7.5,70.5,0.298,0.327,1.18
2025-07-19 17:44:02.293211,7.5,71.0,0.211,0.232,1.4
2025-07-19 17:44:02.293211,7.5,71.5,0.282,0.31,1.14
2025-07-19 17:44:02.293211,7.5,72.0,0.397,0.436,1.12
2025-07-19 17:44:02.293211,7.5,72.5,0.385,0.424,1.41
2025-07-19 17:44:02.293211,7.5,73.0,0.278,0.306,1.38
2025-07-19 17:44:02.293211,7.5,73.5,0.376,0.414,1.24
2025-07-19 17:44:02.293211,7.5,74.0,0.354,0.39,1.2
2025-07-19 17:44:02.293211,7.5,74.5,0.442,0.486,1.18
2025-07-19 17:44:02.293211,7.5,75.0,0.22,0.242,1.09
2025-07-19 17:44:02.293211,7.5,75.5,0.228,0.251,0.87
2025-07-19 17:44:02.293211,7.5,76.0,0.301,0.331,1.02
2025-07-19 17:44:02.293211,7.5,76.5,0.349,0.384,1.56
2025-07-19 17:44:02.293211,7.5,77.0,0.336,0.37,1.29
2025-07-19 17:44:02.293211,7.5,77.5,0.252,0.278,1.36
2025-07-19 17:44:02.293211,7.5,78.0,0.258,0.283,0.99
2025-07-19 17:44:02.293211,7.5,78.5,0.369,0.406,0.94
2025-07-19 17:44:02.293211,7.5,79.0,0.207,0.228,0.76
2025-07-19 17:44:02.293211,7.5,79.5,0.439,0.483,1.54
2025-07-19 17:44:02.293211,7.5,80.0,0.198,0.218,0.98
2025-07-19 17:44:02.293211,7.5,80.5,0.21,0.232,1.28
2025-07-19 17:44:02.293211,7.5,81.0,0.168,0.185,1.38
2025-07-19 17:44:02.293211,7.5,81.5,0.352,0.387,1.51
2025-07-19 17:44:02.293211,7.5,82.0,0.438,0.482,1.35
2025-07-19 17:44:02.293211,7.5,82.5,0.246,0.27,1.37
2025-07-19 17:44:02.293211,7.5,83.0,0.37,0.407,1.58
2025-07-19 17:44:02.293211,7.5,83.5,0.05,0.055,1.26
2025-07-19 17:44:02.293211,7.5,84.0,0.2,0.22,1.61
2025-07-19 17:44:02.293211,7.5,84.5,0.344,0.378,1.3
2025-07-19 17:44:02.293211,7.5,85.0,0.17,0.187,1.4
2025-07-19 17:44:02.293211,7.5,85.5,0.458,0.504,1.15
2025-07-19 17:44:02.293211,7.5,86.0,0.321,0.353,0.86
2025-07-19 17:44:02.293211,7.5,86.5,0.3,0.33,1.08
2025-07-19 17:44:02.293211,7.5,87.0,0.307,0.338,1.38
2025-07-19 17:44:02.293211,7.5,87.5,0.464,0.51,0.98
2025-07-19 17:44:02.293211,7.5,88.0,0.316,0.348,0.61
2025-07-19 17:44:02.293211,7.5,88.5,0.511,0.563,1.23
2025-07-19 17:44:02.293211,7.5,89.0,0.237,0.261,1.15
2025-07-19 17:44:02.293211,7.5,89.5,0.194,0.213,0.93
2025-07-19 17:44:02.293211,7.5,90.0,0.235,0.258,1.25
2025-07-19 17:44:02.293211,7.5,90.5,0.318,0.35,1.08
2025-07-19 17:44:02.293211,7.5,91.0,0.319,0.351,1.42
2025-07-19 17:44:02.293211,7.5,91.5,0.157,0.173,1.25
2025-07-19 17:44:02.293211,7.5,92.0,0.277,0.305,1.51
2025-07-19 17:44:02.293211,7.5,92.5,0.444,0.488,1.33
2025-07-19 17:44:02.293211,7.5,93.0,0.337,0.371,1.55
2025-07-19 17:44:02.293211,7.5,93.5,0.183,0.201,1.05
2025-07-19 17:44:02.293211,7.5,94.0,0.406,0.446,1.29
2025-07-19 17:44:02.293211,7.5,94.5,0.213,0.234,1.44
2025-07-19 17:44:02.293211,7.5,95.0,0.221,0.243,1.16
2025-07-19 17:44:02.293211,7.5,95.5,0.192,0.211,1.39
2025-07-19 17:44:02.293211,7.5,96.0,0.289,0.318,1.41
2025-07-19 17:44:02.293211,7.5,96.5,0.208,0.229,1.5
2025-07-19 17:44:02.293211,7.5,97.0,0.358,0.394,0.89
2025-07-19 17:44:02.293211,8.0,68.0,0.485,0.533,1.55
2025-07-19 17:44:02.293211,8.0,68.5,0.067,0.074,1.21
2025-07-19 17:44:02.293211,8.0,69.0,0.235,0.259,1.39
2025-07-19 17:44:02.293211,8.0,69.5,0.324,0.356,1.46
2025-07-19 17:44:02.293211,8.0,70.0,0.389,0.427,1.12
2025-07-19 17:44:02.293211,8.0,70.5,0.283,0.311,1.43
2025-07-19 17:44:02.293211,8.0,71.0,0.219,0.241,1.27
2025-07-19 17:44:02.293211,8.0,71.5,0.141,0.155,0.99
2025-07-19 17:44:02.293211,8.0,72.0,0.153,0.169,1.3
2025-07-19 17:44:02.293211,8.0,72.5,0.248,0.272,1.39
2025-07-19 17:44:02.293211,8.0,73.0,0.354,0.389,1.43
2025-07-19 17:44:02.293211,8.0,73.5,0.266,0.292,1.19
2025-07-19 17:44:02.293211,8.0,74.0,0.554,0.61,1.47
2025-07-19 17:44:02.293211,8.0,74.5,0.095,0.105,1.32
2025-07-19 17:44:02.293211,8.0,75.0,0.385,0.424,1.26
2025-07-19 17:44:02.293211,8.0,75.5,0.309,0.34,0.97
2025-07-19 17:44:02.293211,8.0,76.0,0.23,0.253,1.55
2025-07-19 17:44:02.293211,8.0,76.5,0.212,0.233,0.98
2025-07-19 17:44:02.293211,8.0,77.0,0.451,0.497,1.13
2025-07-19 17:44:02.293211,8.0,77.5,0.149,0.164,0.82
2025-07-19 17:44:02.293211,8.0,78.0,0.193,0.213,0.89
2025-07-19 17:44:02.293211,8.0,78.5,0.33,0.363,1.29
2025-07-19 17:44:02.293211,8.0,79.0,0.273,0.3,1.22
2025-07-19 17:44:02.293211,8.0,79.5,0.285,0.313,1.5
2025-07-19 17:44:02.293211,8.0,80.0,0.27,0.297,1.13
2025-07-19 17:44:02.293211,8.0,80.5,0.328,0.361,1.1
2025-07-19 17:44:02.293211,8.0,81.0,0.306,0.337,1.33
2025-07-19 17:44:02.293211,8.0,81.5,0.248,0.273,1.07
2025-07-19 17:44:02.293211,8.0,82.0,0.326,0.358,1.33
2025-07-19 17:44:02.293211,8.0,82.5,0.493,0.542,1.4
2025-07-19 17:44:02.293211,8.0,83.0,0.411,0.452,1.15
2025-07-19 17:44:02.293211,8.0,83.5,0.441,0.485,1.08
2025-07-19 17:44:02.293211,8.0,84.0,0.145,0.159,0.88
2025-07-19 17:44:02.293211,8.0,84.5,0.187,0.206,1.11
2025-07-19 17:44:02.293211,8.0,85.0,0.301,0.331,1.52
2025-07-19 17:44:02.293211,8.0,85.5,0.316,0.348,1.17
2025-07-19 17:44:02.293211,8.0,86.0,0.407,0.447,1.29
2025-07-19 17:44:02.293211,8.0,86.5,0.472,0.519,1.39
2025-07-19 17:44:02.293211,8.0,87.0,0.136,0.149,1.45
2025-07-19 17:44:02.293211,8.0,87.5,0.285,0.314,1.2
2025-07-19 17:44:02.293211,8.0,88.0,0.265,0.291,1.36
2025-07-19 17:44:02.293211,8.0,88.5,0.321,0.353,1.54
2025-07-19 17:44:02.293211,8.0,89.0,0.251,0.276,0.98
2025-07-19 17:44:02.293211,8.0,89.5,0.369,0.405,1.48
2025-07-19 17:44:02.293211,8.0,90.0,0.138,0.152,1.14
2025-07-19 17:44:02.293211,8.0,90.5,0.366,0.402,0.77
2025-07-19 17:44:02.293211,8.0,91.0,0.385,0.424,1.21
2025-07-19 17:44:02.293211,8.0,91.5,0.348,0.383,1.11
2025-07-19 17:44:02.293211,8.0,92.0,0.238,0.262,1.03
2025-07-19 17:44:02.293211,8.0,92.5,0.05,0.055,1.25
2025-07-19 17:44:02.293211,8.0,93.0,0.574,0.631,1.43
2025-07-19 17:44:02.293211,8.0,93.5,0.353,0.388,1.41
2025-07-19 17:44:02.293211,8.0,94.0,0.203,0.224,1.11
2025-07-19 17:44:02.293211,8.0,94.5,0.119,0.131,1.07
2025-07-19 17:44:02.293211,8.0,95.0,0.194,0.213,1.25
2025-07-19 17:44:02.293211,8.0,95.5,0.315,0.347,1.2
2025-07-19 17:44:02.293211,8.0,96.0,0.297,0.327,1.24
2025-07-19 17:44:02.293211,8.0,96.5,0.411,0.452,1.63
2025-07-19 17:44:02.293211,8.0,97.0,0.322,0.355,1.47
2025-07-19 17:44:02.293211,8.5,68.0,0.272,0.299,1.01
2025-07-19 17:44:02.293211,8.5,68.5,0.439,0.483,1.25
2025-07-19 17:44:02.293211,8.5,69.0,0.285,0.313,1.33
2025-07-19 17:44:02.293211,8.5,69.5,0.225,0.247,1.17
2025-07-19 17:44:02.293211,8.5,70.0,0.455,0.501,1.24
2025-07-19 17:44:02.293211,8.5,70.5,0.457,0.503,1.37
2025-07-19 17:44:02.293211,8.5,71.0,0.232,0.255,1.19
2025-07-19 17:44:02.293211,8.5,71.5,0.293,0.323,1.43
